age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,user_id
-1.0140194014162054,3,1,2,0,9,4,0,20,16,200
0.3535287227705299,3,1,2,2,5,2,2,26,54,201
0.037940694112052524,3,0,2,4,9,4,0,7,55,202
-0.06725531544077326,3,0,2,2,2,4,0,7,54,203
0.5639207418761815,3,1,2,1,2,1,0,27,54,204
-0.38284334409925064,2,1,2,2,2,4,0,7,54,205
-0.17245132499359905,3,0,2,9,2,4,0,8,54,206
-0.2776473345464248,3,0,2,10,2,4,0,20,32,207
-0.06725531544077326,3,1,2,2,7,3,0,13,54,208
0.14313670366487832,3,1,2,1,2,4,0,10,54,209
-0.4880393536520764,3,0,2,2,2,4,0,7,54,210
-0.17245132499359905,3,1,2,4,2,4,0,7,54,211
-0.17245132499359905,3,1,2,10,12,1,0,7,54,212
0.14313670366487832,3,1,2,10,9,4,2,7,54,213
-0.38284334409925064,3,1,2,4,0,3,0,7,16,214
-1.0140194014162054,3,1,2,4,2,4,0,20,53,215
0.6691167514290073,3,0,2,2,2,4,0,7,54,216
-0.4880393536520764,3,1,2,10,9,4,0,7,54,217
0.037940694112052524,3,1,2,1,2,4,0,7,54,218
-0.17245132499359905,3,1,2,2,9,2,2,10,54,219
-0.2776473345464248,3,0,0,3,0,4,2,10,54,220
-0.4880393536520764,3,1,2,2,2,4,0,0,50,221
-0.5932353632049022,3,0,2,1,2,4,0,7,54,222
0.14313670366487832,3,1,2,4,2,3,0,7,54,223
0.14313670366487832,3,1,1,1,0,4,0,7,54,224
-0.06725531544077326,2,1,2,4,2,4,0,20,11,225
-0.06725531544077326,3,1,2,10,9,4,2,10,54,226
-0.38284334409925064,3,1,2,1,0,4,0,7,30,227
-0.2776473345464248,3,1,2,4,7,4,0,12,54,228
-1.0140194014162054,3,1,2,1,2,3,0,20,0,229
0.3535287227705299,3,1,2,1,2,4,2,13,47,230
-0.06725531544077326,3,0,2,3,2,4,0,9,34,231
-0.5932353632049022,3,1,2,4,2,2,2,25,54,232
0.24833271321770412,3,0,2,3,2,4,0,7,54,233
-1.119215410969031,3,1,2,4,2,3,0,20,54,234
-0.06725531544077326,3,1,1,2,2,4,0,10,54,235
0.24833271321770412,3,1,2,4,0,4,0,10,54,236
-0.8036273823105538,3,1,2,2,0,4,0,7,17,237
-0.2776473345464248,3,1,2,4,2,4,2,7,54,238
-0.06725531544077326,3,0,2,3,0,4,2,10,54,239
0.9847047800874846,3,1,2,1,2,4,1,26,54,240
-0.06725531544077326,3,0,2,10,0,4,0,10,54,241
1.0899007896403103,3,0,2,4,2,4,0,10,54,242
1.4054888182987877,3,0,2,4,2,4,0,10,0,243
-1.119215410969031,3,1,2,1,2,3,0,24,54,244
-0.2776473345464248,3,1,2,4,9,4,0,7,54,245
-0.9088233918633796,3,0,2,3,2,3,0,20,23,246
0.4587247323233557,2,1,2,4,9,2,2,12,54,247
-1.119215410969031,3,0,2,2,7,1,0,26,55,248
1.9314688660629167,3,1,2,4,2,4,0,14,54,249
-0.9088233918633796,3,1,2,1,0,4,2,13,54,250
-1.119215410969031,3,1,2,10,9,4,1,26,32,251
-0.4880393536520764,3,0,0,3,2,4,0,7,54,252
0.037940694112052524,2,0,2,3,7,4,0,26,54,253
0.774312760981833,3,0,2,2,0,3,0,10,54,254
-1.0140194014162054,3,1,2,1,9,4,0,25,54,255
1.9314688660629167,3,1,2,2,2,2,0,0,54,256
2.8782329520383487,3,1,2,4,0,4,0,10,54,257
0.4587247323233557,3,1,2,4,0,2,2,7,54,258
-0.5932353632049022,3,1,2,4,9,1,0,7,28,259
-0.2776473345464248,3,0,1,10,2,4,0,14,54,260
-0.2776473345464248,3,0,2,2,15,4,0,9,54,261
2.35225290427422,3,0,2,5,2,4,0,7,54,262
-1.224411420521857,3,1,2,10,0,3,0,20,54,263
-0.5932353632049022,3,0,1,3,2,4,0,20,32,264
-0.5932353632049022,3,0,2,4,2,4,0,7,54,265
3.193820980696826,3,1,2,4,0,4,0,10,54,266
-0.4880393536520764,3,1,2,1,2,4,0,7,54,267
-0.2776473345464248,3,1,2,0,3,2,0,2,54,268
